2026-04-11 00:25:35 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 60/200 — train_loss=0.6797 val_loss=1.0959 recon=0.5133 kl=0.4623 kl_weight=0.3600
2026-04-11 00:25:36 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 61/200 — train_loss=0.6806 val_loss=1.1044 recon=0.4985 kl=0.4553 kl_weight=0.4000
2026-04-11 00:25:36 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 62/200 — train_loss=0.7073 val_loss=1.1091 recon=0.5035 kl=0.4631 kl_weight=0.4400
2026-04-11 00:25:36 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 63/200 — train_loss=0.7176 val_loss=1.1107 recon=0.4998 kl=0.4539 kl_weight=0.4800
2026-04-11 00:25:37 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 64/200 — train_loss=0.7252 val_loss=1.1063 recon=0.5080 kl=0.4178 kl_weight=0.5200
2026-04-11 00:25:37 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 65/200 — train_loss=0.7232 val_loss=1.0982 recon=0.4983 kl=0.4015 kl_weight=0.5600
2026-04-11 00:25:38 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 66/200 — train_loss=0.7286 val_loss=1.0827 recon=0.5070 kl=0.3693 kl_weight=0.6000
2026-04-11 00:25:38 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 67/200 — train_loss=0.7192 val_loss=1.0692 recon=0.5046 kl=0.3354 kl_weight=0.6400
2026-04-11 00:25:38 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 68/200 — train_loss=0.7225 val_loss=1.0600 recon=0.5201 kl=0.2977 kl_weight=0.6800
2026-04-11 00:25:39 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 69/200 — train_loss=0.7297 val_loss=1.0522 recon=0.5344 kl=0.2713 kl_weight=0.7200
2026-04-11 00:25:39 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 70/200 — train_loss=0.7214 val_loss=1.0455 recon=0.5356 kl=0.2445 kl_weight=0.7600
2026-04-11 00:25:39 | INFO    | resistancemap.models.vae | Early stopping at epoch 70
2026-04-11 00:25:39 | INFO    | resistancemap | <<< STAGE END: vae_pretrain (1.6 min) | best_val_loss=1.0045 final_epoch=70 total_steps=70
2026-04-11 00:25:39 | INFO    | resistancemap | === Sequential stage: vae_finetune ===
2026-04-11 00:25:39 | INFO    | resistancemap | >>> STAGE START: vae_finetune
2026-04-11 00:25:40 | INFO    | resistancemap | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-04-11T05:22:32.455918+00:00)
2026-04-11 00:25:40 | INFO    | resistancemap | Checkpoint loaded: checkpoints/vae_pretrained.pt (saved 2026-04-11T05:25:30.916948+00:00)
2026-04-11 00:29:34 | INFO    | resistancemap | Logging to logs/pipeline.log
2026-04-11 00:29:34 | WARNING | resistancemap | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-04-11 00:29:34 | INFO    | resistancemap | === Sequential stage: data_validate ===
2026-04-11 00:29:34 | INFO    | resistancemap | >>> STAGE START: data_validate
2026-04-11 00:29:34 | INFO    | resistancemap | <<< STAGE END: data_validate (0.0 min)
2026-04-11 00:29:34 | INFO    | resistancemap | === Sequential stage: data_prep ===
2026-04-11 00:29:35 | INFO    | resistancemap | >>> STAGE START: data_prep
2026-04-11 00:29:35 | INFO    | resistancemap.data.loaders | Loading CCLE proteomics from data/raw/ccle_proteomics.csv
